claim_id,image_name,nli_comparisons,entailment_count,contradiction_count,neutral_count,consistency_score,consistency_percent
documerica_0073.jpg_claim_16,documerica_0073.jpg,8,3,0,5,1.0,100.0
documerica_0036.jpg_claim_18,documerica_0036.jpg,3,2,0,1,1.0,100.0
documerica_0088.jpg_claim_17,documerica_0088.jpg,3,1,0,2,1.0,100.0
documerica_0066.jpg_claim_3,documerica_0066.jpg,15,1,0,14,1.0,100.0
documerica_0086.jpg_claim_2,documerica_0086.jpg,7,0,0,7,,
documerica_0029.jpg_claim_0,documerica_0029.jpg,3,0,2,1,0.0,0.0
documerica_0037.jpg_claim_17,documerica_0037.jpg,0,0,0,0,,
documerica_0071.jpg_claim_10,documerica_0071.jpg,2,0,1,1,0.0,0.0
documerica_0055.jpg_claim_5,documerica_0055.jpg,21,11,0,10,1.0,100.0
documerica_0029.jpg_claim_11,documerica_0029.jpg,3,0,0,3,,
documerica_0012.jpg_claim_15,documerica_0012.jpg,2,0,0,2,,
documerica_0088.jpg_claim_13,documerica_0088.jpg,2,1,1,0,0.5,50.0
documerica_0032.jpg_claim_12,documerica_0032.jpg,1,0,0,1,,
documerica_0084.jpg_claim_19,documerica_0084.jpg,6,0,0,6,,
documerica_0096.jpg_claim_2,documerica_0096.jpg,0,0,0,0,,
documerica_0010.jpg_claim_17,documerica_0010.jpg,0,0,0,0,,
documerica_0087.jpg_claim_16,documerica_0087.jpg,3,0,0,3,,
documerica_0029.jpg_claim_17,documerica_0029.jpg,0,0,0,0,,
documerica_0074.jpg_claim_9,documerica_0074.jpg,0,0,0,0,,
documerica_0069.jpg_claim_7,documerica_0069.jpg,5,0,0,5,,
documerica_0076.jpg_claim_1,documerica_0076.jpg,0,0,0,0,,
documerica_0076.jpg_claim_19,documerica_0076.jpg,1,0,0,1,,
documerica_0030.jpg_claim_22,documerica_0030.jpg,2,2,0,0,1.0,100.0
documerica_0014.jpg_claim_21,documerica_0014.jpg,3,0,1,2,0.0,0.0
documerica_0061.jpg_claim_6,documerica_0061.jpg,3,0,0,3,,
documerica_0080.jpg_claim_3,documerica_0080.jpg,3,0,0,3,,
documerica_0008.jpg_claim_2,documerica_0008.jpg,7,2,0,5,1.0,100.0
documerica_0017.jpg_claim_21,documerica_0017.jpg,0,0,0,0,,
documerica_0031.jpg_claim_1,documerica_0031.jpg,11,7,0,4,1.0,100.0
documerica_0072.jpg_claim_12,documerica_0072.jpg,1,1,0,0,1.0,100.0
documerica_0027.jpg_claim_23,documerica_0027.jpg,0,0,0,0,,
documerica_0031.jpg_claim_16,documerica_0031.jpg,2,1,0,1,1.0,100.0
documerica_0007.jpg_claim_12,documerica_0007.jpg,0,0,0,0,,
documerica_0065.jpg_claim_9,documerica_0065.jpg,0,0,0,0,,
documerica_0008.jpg_claim_8,documerica_0008.jpg,8,6,0,2,1.0,100.0
documerica_0085.jpg_claim_10,documerica_0085.jpg,0,0,0,0,,
documerica_0060.jpg_claim_13,documerica_0060.jpg,0,0,0,0,,
documerica_0064.jpg_claim_0,documerica_0064.jpg,28,10,0,18,1.0,100.0
documerica_0007.jpg_claim_0,documerica_0007.jpg,27,3,2,22,0.6,60.0
documerica_0062.jpg_claim_16,documerica_0062.jpg,1,0,0,1,,
documerica_0051.jpg_claim_14,documerica_0051.jpg,2,0,0,2,,
documerica_0039.jpg_claim_22,documerica_0039.jpg,3,1,1,1,0.5,50.0
documerica_0035.jpg_claim_10,documerica_0035.jpg,4,4,0,0,1.0,100.0
documerica_0013.jpg_claim_8,documerica_0013.jpg,8,2,0,6,1.0,100.0
documerica_0071.jpg_claim_15,documerica_0071.jpg,6,0,1,5,0.0,0.0
documerica_0028.jpg_claim_16,documerica_0028.jpg,4,1,0,3,1.0,100.0
documerica_0016.jpg_claim_18,documerica_0016.jpg,8,0,1,7,0.0,0.0
documerica_0020.jpg_claim_3,documerica_0020.jpg,9,8,0,1,1.0,100.0
documerica_0023.jpg_claim_2,documerica_0023.jpg,8,3,1,4,0.75,75.0
documerica_0052.jpg_claim_12,documerica_0052.jpg,0,0,0,0,,
documerica_0096.jpg_claim_3,documerica_0096.jpg,5,2,0,3,1.0,100.0
documerica_0063.jpg_claim_4,documerica_0063.jpg,2,0,0,2,,
documerica_0006.jpg_claim_10,documerica_0006.jpg,3,0,0,3,,
documerica_0026.jpg_claim_10,documerica_0026.jpg,2,0,0,2,,
documerica_0040.jpg_claim_4,documerica_0040.jpg,8,4,0,4,1.0,100.0
documerica_0025.jpg_claim_8,documerica_0025.jpg,1,1,0,0,1.0,100.0
documerica_0082.jpg_claim_20,documerica_0082.jpg,1,0,0,1,,
documerica_0040.jpg_claim_8,documerica_0040.jpg,15,2,0,13,1.0,100.0
documerica_0032.jpg_claim_15,documerica_0032.jpg,0,0,0,0,,
documerica_0033.jpg_claim_5,documerica_0033.jpg,0,0,0,0,,
documerica_0074.jpg_claim_23,documerica_0074.jpg,0,0,0,0,,
documerica_0031.jpg_claim_15,documerica_0031.jpg,3,1,0,2,1.0,100.0
documerica_0013.jpg_claim_18,documerica_0013.jpg,2,1,0,1,1.0,100.0
documerica_0090.jpg_claim_4,documerica_0090.jpg,1,0,0,1,,
documerica_0051.jpg_claim_20,documerica_0051.jpg,1,1,0,0,1.0,100.0
documerica_0077.jpg_claim_12,documerica_0077.jpg,8,1,0,7,1.0,100.0
documerica_0075.jpg_claim_15,documerica_0075.jpg,5,0,0,5,,
documerica_0028.jpg_claim_5,documerica_0028.jpg,0,0,0,0,,
documerica_0095.jpg_claim_15,documerica_0095.jpg,0,0,0,0,,
documerica_0084.jpg_claim_2,documerica_0084.jpg,9,1,0,8,1.0,100.0
documerica_0043.jpg_claim_17,documerica_0043.jpg,1,0,0,1,,
documerica_0015.jpg_claim_5,documerica_0015.jpg,20,12,2,6,0.8571428571428571,85.71428571428571
documerica_0021.jpg_claim_0,documerica_0021.jpg,23,10,0,13,1.0,100.0
documerica_0026.jpg_claim_1,documerica_0026.jpg,4,0,0,4,,
documerica_0016.jpg_claim_6,documerica_0016.jpg,5,2,1,2,0.6666666666666666,66.66666666666666
documerica_0087.jpg_claim_5,documerica_0087.jpg,1,0,0,1,,
documerica_0041.jpg_claim_0,documerica_0041.jpg,9,2,0,7,1.0,100.0
documerica_0076.jpg_claim_10,documerica_0076.jpg,0,0,0,0,,
documerica_0067.jpg_claim_6,documerica_0067.jpg,4,0,0,4,,
documerica_0084.jpg_claim_17,documerica_0084.jpg,1,0,0,1,,
documerica_0077.jpg_claim_1,documerica_0077.jpg,3,2,0,1,1.0,100.0
documerica_0065.jpg_claim_14,documerica_0065.jpg,0,0,0,0,,
documerica_0013.jpg_claim_3,documerica_0013.jpg,3,1,0,2,1.0,100.0
documerica_0075.jpg_claim_11,documerica_0075.jpg,0,0,0,0,,
documerica_0038.jpg_claim_10,documerica_0038.jpg,5,0,1,4,0.0,0.0
documerica_0022.jpg_claim_16,documerica_0022.jpg,2,0,2,0,0.0,0.0
documerica_0046.jpg_claim_9,documerica_0046.jpg,1,0,0,1,,
documerica_0018.jpg_claim_12,documerica_0018.jpg,5,4,0,1,1.0,100.0
documerica_0027.jpg_claim_20,documerica_0027.jpg,5,0,0,5,,
documerica_0032.jpg_claim_4,documerica_0032.jpg,4,3,0,1,1.0,100.0
documerica_0044.jpg_claim_6,documerica_0044.jpg,0,0,0,0,,
documerica_0022.jpg_claim_6,documerica_0022.jpg,11,2,1,8,0.6666666666666666,66.66666666666666
documerica_0032.jpg_claim_25,documerica_0032.jpg,3,1,0,2,1.0,100.0
documerica_0005.jpg_claim_5,documerica_0005.jpg,4,2,0,2,1.0,100.0
documerica_0036.jpg_claim_12,documerica_0036.jpg,0,0,0,0,,
documerica_0043.jpg_claim_0,documerica_0043.jpg,19,4,0,15,1.0,100.0
documerica_0096.jpg_claim_5,documerica_0096.jpg,0,0,0,0,,
documerica_0052.jpg_claim_8,documerica_0052.jpg,8,2,0,6,1.0,100.0
documerica_0041.jpg_claim_7,documerica_0041.jpg,2,1,0,1,1.0,100.0
documerica_0095.jpg_claim_22,documerica_0095.jpg,0,0,0,0,,
documerica_0030.jpg_claim_13,documerica_0030.jpg,2,0,0,2,,
documerica_0043.jpg_claim_4,documerica_0043.jpg,0,0,0,0,,
documerica_0088.jpg_claim_6,documerica_0088.jpg,8,0,0,8,,
documerica_0060.jpg_claim_16,documerica_0060.jpg,5,2,0,3,1.0,100.0
documerica_0077.jpg_claim_6,documerica_0077.jpg,1,0,0,1,,
documerica_0047.jpg_claim_9,documerica_0047.jpg,0,0,0,0,,
documerica_0070.jpg_claim_13,documerica_0070.jpg,3,0,3,0,0.0,0.0
documerica_0068.jpg_claim_19,documerica_0068.jpg,0,0,0,0,,
documerica_0012.jpg_claim_2,documerica_0012.jpg,5,0,0,5,,
documerica_0063.jpg_claim_8,documerica_0063.jpg,0,0,0,0,,
documerica_0025.jpg_claim_10,documerica_0025.jpg,0,0,0,0,,
documerica_0069.jpg_claim_9,documerica_0069.jpg,0,0,0,0,,
documerica_0024.jpg_claim_2,documerica_0024.jpg,2,1,1,0,0.5,50.0
documerica_0081.jpg_claim_4,documerica_0081.jpg,7,5,0,2,1.0,100.0
documerica_0028.jpg_claim_18,documerica_0028.jpg,6,0,0,6,,
documerica_0047.jpg_claim_8,documerica_0047.jpg,4,1,1,2,0.5,50.0
documerica_0089.jpg_claim_12,documerica_0089.jpg,6,4,0,2,1.0,100.0
documerica_0047.jpg_claim_1,documerica_0047.jpg,3,0,0,3,,
documerica_0015.jpg_claim_19,documerica_0015.jpg,1,0,0,1,,
documerica_0023.jpg_claim_14,documerica_0023.jpg,1,0,0,1,,
documerica_0034.jpg_claim_6,documerica_0034.jpg,0,0,0,0,,
documerica_0055.jpg_claim_8,documerica_0055.jpg,3,0,0,3,,
documerica_0019.jpg_claim_24,documerica_0019.jpg,1,0,0,1,,
documerica_0045.jpg_claim_26,documerica_0045.jpg,0,0,0,0,,
documerica_0043.jpg_claim_14,documerica_0043.jpg,2,0,0,2,,
documerica_0072.jpg_claim_20,documerica_0072.jpg,2,0,0,2,,
documerica_0087.jpg_claim_19,documerica_0087.jpg,1,1,0,0,1.0,100.0
documerica_0032.jpg_claim_11,documerica_0032.jpg,3,2,0,1,1.0,100.0
documerica_0082.jpg_claim_0,documerica_0082.jpg,16,3,6,7,0.3333333333333333,33.33333333333333
documerica_0032.jpg_claim_23,documerica_0032.jpg,0,0,0,0,,
documerica_0093.jpg_claim_17,documerica_0093.jpg,3,1,0,2,1.0,100.0
documerica_0088.jpg_claim_16,documerica_0088.jpg,3,0,0,3,,
documerica_0039.jpg_claim_14,documerica_0039.jpg,0,0,0,0,,
documerica_0090.jpg_claim_14,documerica_0090.jpg,2,2,0,0,1.0,100.0
documerica_0080.jpg_claim_1,documerica_0080.jpg,48,9,6,33,0.6,60.0
documerica_0041.jpg_claim_8,documerica_0041.jpg,2,0,0,2,,
documerica_0083.jpg_claim_1,documerica_0083.jpg,12,9,0,3,1.0,100.0
documerica_0016.jpg_claim_12,documerica_0016.jpg,3,1,0,2,1.0,100.0
documerica_0020.jpg_claim_16,documerica_0020.jpg,5,0,1,4,0.0,0.0
documerica_0031.jpg_claim_18,documerica_0031.jpg,1,0,0,1,,
documerica_0037.jpg_claim_10,documerica_0037.jpg,1,1,0,0,1.0,100.0
documerica_0041.jpg_claim_5,documerica_0041.jpg,0,0,0,0,,
documerica_0067.jpg_claim_18,documerica_0067.jpg,3,0,0,3,,
documerica_0078.jpg_claim_9,documerica_0078.jpg,1,0,0,1,,
documerica_0060.jpg_claim_26,documerica_0060.jpg,1,1,0,0,1.0,100.0
documerica_0096.jpg_claim_15,documerica_0096.jpg,3,0,0,3,,
documerica_0008.jpg_claim_1,documerica_0008.jpg,1,0,0,1,,
documerica_0057.jpg_claim_14,documerica_0057.jpg,9,1,0,8,1.0,100.0
documerica_0036.jpg_claim_11,documerica_0036.jpg,7,5,0,2,1.0,100.0
documerica_0010.jpg_claim_7,documerica_0010.jpg,2,0,2,0,0.0,0.0
documerica_0081.jpg_claim_9,documerica_0081.jpg,8,0,2,6,0.0,0.0
documerica_0079.jpg_claim_2,documerica_0079.jpg,0,0,0,0,,
documerica_0061.jpg_claim_8,documerica_0061.jpg,2,0,0,2,,
documerica_0065.jpg_claim_15,documerica_0065.jpg,0,0,0,0,,
documerica_0094.jpg_claim_2,documerica_0094.jpg,5,0,0,5,,
documerica_0059.jpg_claim_9,documerica_0059.jpg,6,2,0,4,1.0,100.0
documerica_0072.jpg_claim_13,documerica_0072.jpg,0,0,0,0,,
documerica_0005.jpg_claim_8,documerica_0005.jpg,2,2,0,0,1.0,100.0
documerica_0094.jpg_claim_16,documerica_0094.jpg,0,0,0,0,,
documerica_0062.jpg_claim_20,documerica_0062.jpg,0,0,0,0,,
documerica_0021.jpg_claim_6,documerica_0021.jpg,8,5,0,3,1.0,100.0
documerica_0053.jpg_claim_7,documerica_0053.jpg,5,1,0,4,1.0,100.0
documerica_0037.jpg_claim_14,documerica_0037.jpg,2,0,0,2,,
documerica_0055.jpg_claim_6,documerica_0055.jpg,0,0,0,0,,
documerica_0085.jpg_claim_2,documerica_0085.jpg,2,0,0,2,,
documerica_0035.jpg_claim_1,documerica_0035.jpg,3,1,0,2,1.0,100.0
documerica_0067.jpg_claim_13,documerica_0067.jpg,0,0,0,0,,
documerica_0014.jpg_claim_10,documerica_0014.jpg,4,3,0,1,1.0,100.0
documerica_0093.jpg_claim_3,documerica_0093.jpg,2,0,0,2,,
documerica_0062.jpg_claim_9,documerica_0062.jpg,1,0,0,1,,
documerica_0096.jpg_claim_13,documerica_0096.jpg,2,1,0,1,1.0,100.0
documerica_0089.jpg_claim_6,documerica_0089.jpg,4,0,0,4,,
documerica_0022.jpg_claim_23,documerica_0022.jpg,6,0,1,5,0.0,0.0
documerica_0049.jpg_claim_11,documerica_0049.jpg,11,1,2,8,0.3333333333333333,33.33333333333333
documerica_0035.jpg_claim_9,documerica_0035.jpg,2,1,0,1,1.0,100.0
documerica_0087.jpg_claim_23,documerica_0087.jpg,0,0,0,0,,
documerica_0028.jpg_claim_6,documerica_0028.jpg,0,0,0,0,,
documerica_0021.jpg_claim_3,documerica_0021.jpg,6,4,0,2,1.0,100.0
documerica_0088.jpg_claim_5,documerica_0088.jpg,0,0,0,0,,
documerica_0016.jpg_claim_14,documerica_0016.jpg,5,2,0,3,1.0,100.0
documerica_0063.jpg_claim_18,documerica_0063.jpg,0,0,0,0,,
documerica_0021.jpg_claim_22,documerica_0021.jpg,6,4,0,2,1.0,100.0
documerica_0092.jpg_claim_5,documerica_0092.jpg,3,0,0,3,,
documerica_0092.jpg_claim_22,documerica_0092.jpg,2,0,0,2,,
documerica_0014.jpg_claim_8,documerica_0014.jpg,2,0,0,2,,
documerica_0055.jpg_claim_9,documerica_0055.jpg,1,0,0,1,,
documerica_0030.jpg_claim_19,documerica_0030.jpg,0,0,0,0,,
documerica_0037.jpg_claim_2,documerica_0037.jpg,3,2,0,1,1.0,100.0
documerica_0078.jpg_claim_4,documerica_0078.jpg,2,1,0,1,1.0,100.0
documerica_0027.jpg_claim_10,documerica_0027.jpg,5,0,0,5,,
documerica_0016.jpg_claim_16,documerica_0016.jpg,6,0,0,6,,
documerica_0066.jpg_claim_4,documerica_0066.jpg,16,12,0,4,1.0,100.0
documerica_0049.jpg_claim_8,documerica_0049.jpg,6,1,4,1,0.2,20.0
documerica_0077.jpg_claim_15,documerica_0077.jpg,4,2,0,2,1.0,100.0
documerica_0095.jpg_claim_11,documerica_0095.jpg,0,0,0,0,,
documerica_0075.jpg_claim_8,documerica_0075.jpg,1,0,0,1,,
documerica_0070.jpg_claim_9,documerica_0070.jpg,0,0,0,0,,
documerica_0094.jpg_claim_14,documerica_0094.jpg,4,1,0,3,1.0,100.0
documerica_0010.jpg_claim_2,documerica_0010.jpg,6,1,0,5,1.0,100.0
documerica_0023.jpg_claim_16,documerica_0023.jpg,2,2,0,0,1.0,100.0
documerica_0062.jpg_claim_18,documerica_0062.jpg,2,0,1,1,0.0,0.0
documerica_0060.jpg_claim_2,documerica_0060.jpg,6,4,0,2,1.0,100.0
documerica_0053.jpg_claim_5,documerica_0053.jpg,4,1,1,2,0.5,50.0
documerica_0046.jpg_claim_7,documerica_0046.jpg,0,0,0,0,,
documerica_0039.jpg_claim_12,documerica_0039.jpg,5,0,3,2,0.0,0.0
documerica_0065.jpg_claim_10,documerica_0065.jpg,0,0,0,0,,
documerica_0079.jpg_claim_7,documerica_0079.jpg,4,0,0,4,,
documerica_0048.jpg_claim_19,documerica_0048.jpg,4,2,0,2,1.0,100.0
documerica_0027.jpg_claim_5,documerica_0027.jpg,2,2,0,0,1.0,100.0
documerica_0078.jpg_claim_5,documerica_0078.jpg,0,0,0,0,,
documerica_0079.jpg_claim_15,documerica_0079.jpg,8,0,0,8,,
documerica_0070.jpg_claim_19,documerica_0070.jpg,0,0,0,0,,
documerica_0056.jpg_claim_18,documerica_0056.jpg,0,0,0,0,,
documerica_0058.jpg_claim_1,documerica_0058.jpg,2,0,0,2,,
documerica_0040.jpg_claim_23,documerica_0040.jpg,4,3,0,1,1.0,100.0
documerica_0037.jpg_claim_3,documerica_0037.jpg,7,6,0,1,1.0,100.0
documerica_0070.jpg_claim_5,documerica_0070.jpg,9,6,3,0,0.6666666666666666,66.66666666666666
documerica_0071.jpg_claim_0,documerica_0071.jpg,22,0,11,11,0.0,0.0
documerica_0033.jpg_claim_11,documerica_0033.jpg,6,0,0,6,,
documerica_0093.jpg_claim_13,documerica_0093.jpg,2,2,0,0,1.0,100.0
documerica_0028.jpg_claim_8,documerica_0028.jpg,2,0,0,2,,
documerica_0073.jpg_claim_7,documerica_0073.jpg,10,1,0,9,1.0,100.0
documerica_0080.jpg_claim_17,documerica_0080.jpg,1,0,0,1,,
documerica_0091.jpg_claim_6,documerica_0091.jpg,0,0,0,0,,
documerica_0072.jpg_claim_9,documerica_0072.jpg,4,0,0,4,,
documerica_0033.jpg_claim_4,documerica_0033.jpg,7,6,0,1,1.0,100.0
documerica_0025.jpg_claim_6,documerica_0025.jpg,0,0,0,0,,
documerica_0096.jpg_claim_27,documerica_0096.jpg,0,0,0,0,,
documerica_0095.jpg_claim_13,documerica_0095.jpg,4,0,0,4,,
documerica_0055.jpg_claim_12,documerica_0055.jpg,2,1,0,1,1.0,100.0
documerica_0011.jpg_claim_6,documerica_0011.jpg,2,0,0,2,,
documerica_0034.jpg_claim_10,documerica_0034.jpg,0,0,0,0,,
documerica_0078.jpg_claim_21,documerica_0078.jpg,0,0,0,0,,
documerica_0007.jpg_claim_3,documerica_0007.jpg,1,0,0,1,,
documerica_0014.jpg_claim_0,documerica_0014.jpg,27,7,2,18,0.7777777777777778,77.77777777777779
documerica_0074.jpg_claim_10,documerica_0074.jpg,3,1,0,2,1.0,100.0
documerica_0072.jpg_claim_16,documerica_0072.jpg,5,0,1,4,0.0,0.0
documerica_0094.jpg_claim_7,documerica_0094.jpg,3,0,0,3,,
documerica_0088.jpg_claim_2,documerica_0088.jpg,0,0,0,0,,
documerica_0080.jpg_claim_12,documerica_0080.jpg,6,1,0,5,1.0,100.0
documerica_0039.jpg_claim_6,documerica_0039.jpg,10,0,4,6,0.0,0.0
documerica_0083.jpg_claim_17,documerica_0083.jpg,1,0,0,1,,
documerica_0074.jpg_claim_13,documerica_0074.jpg,1,0,0,1,,
documerica_0082.jpg_claim_5,documerica_0082.jpg,0,0,0,0,,
documerica_0028.jpg_claim_2,documerica_0028.jpg,19,12,0,7,1.0,100.0
documerica_0073.jpg_claim_4,documerica_0073.jpg,4,0,0,4,,
documerica_0071.jpg_claim_23,documerica_0071.jpg,1,0,0,1,,
documerica_0093.jpg_claim_22,documerica_0093.jpg,2,0,0,2,,
documerica_0095.jpg_claim_17,documerica_0095.jpg,2,0,0,2,,
documerica_0035.jpg_claim_4,documerica_0035.jpg,9,3,2,4,0.6,60.0
documerica_0037.jpg_claim_1,documerica_0037.jpg,1,0,0,1,,
documerica_0046.jpg_claim_4,documerica_0046.jpg,1,0,0,1,,
documerica_0075.jpg_claim_18,documerica_0075.jpg,6,1,0,5,1.0,100.0
documerica_0061.jpg_claim_17,documerica_0061.jpg,1,0,0,1,,
documerica_0079.jpg_claim_20,documerica_0079.jpg,3,3,0,0,1.0,100.0
documerica_0016.jpg_claim_3,documerica_0016.jpg,1,1,0,0,1.0,100.0
documerica_0090.jpg_claim_24,documerica_0090.jpg,0,0,0,0,,
documerica_0053.jpg_claim_2,documerica_0053.jpg,12,2,0,10,1.0,100.0
documerica_0007.jpg_claim_9,documerica_0007.jpg,8,1,1,6,0.5,50.0
documerica_0036.jpg_claim_1,documerica_0036.jpg,15,4,0,11,1.0,100.0
documerica_0038.jpg_claim_5,documerica_0038.jpg,6,1,0,5,1.0,100.0
documerica_0066.jpg_claim_13,documerica_0066.jpg,1,0,0,1,,
documerica_0089.jpg_claim_5,documerica_0089.jpg,0,0,0,0,,
documerica_0009.jpg_claim_10,documerica_0009.jpg,4,4,0,0,1.0,100.0
documerica_0016.jpg_claim_8,documerica_0016.jpg,6,3,0,3,1.0,100.0
documerica_0048.jpg_claim_23,documerica_0048.jpg,1,1,0,0,1.0,100.0
documerica_0077.jpg_claim_13,documerica_0077.jpg,4,3,0,1,1.0,100.0
documerica_0066.jpg_claim_12,documerica_0066.jpg,0,0,0,0,,
documerica_0075.jpg_claim_17,documerica_0075.jpg,5,0,0,5,,
documerica_0053.jpg_claim_3,documerica_0053.jpg,13,0,0,13,,
documerica_0045.jpg_claim_1,documerica_0045.jpg,5,2,0,3,1.0,100.0
documerica_0011.jpg_claim_9,documerica_0011.jpg,0,0,0,0,,
documerica_0031.jpg_claim_26,documerica_0031.jpg,0,0,0,0,,
documerica_0024.jpg_claim_18,documerica_0024.jpg,0,0,0,0,,
documerica_0016.jpg_claim_4,documerica_0016.jpg,0,0,0,0,,
documerica_0030.jpg_claim_4,documerica_0030.jpg,4,1,0,3,1.0,100.0
documerica_0023.jpg_claim_17,documerica_0023.jpg,2,0,1,1,0.0,0.0
documerica_0011.jpg_claim_3,documerica_0011.jpg,0,0,0,0,,
documerica_0014.jpg_claim_3,documerica_0014.jpg,2,1,0,1,1.0,100.0
documerica_0073.jpg_claim_18,documerica_0073.jpg,0,0,0,0,,
documerica_0042.jpg_claim_14,documerica_0042.jpg,3,0,0,3,,
documerica_0040.jpg_claim_7,documerica_0040.jpg,0,0,0,0,,
documerica_0045.jpg_claim_6,documerica_0045.jpg,3,1,1,1,0.5,50.0
documerica_0038.jpg_claim_2,documerica_0038.jpg,6,3,2,1,0.6,60.0
documerica_0066.jpg_claim_14,documerica_0066.jpg,9,0,0,9,,
documerica_0082.jpg_claim_21,documerica_0082.jpg,0,0,0,0,,
documerica_0089.jpg_claim_4,documerica_0089.jpg,7,2,0,5,1.0,100.0
documerica_0049.jpg_claim_7,documerica_0049.jpg,22,1,3,18,0.25,25.0
documerica_0010.jpg_claim_3,documerica_0010.jpg,0,0,0,0,,
documerica_0045.jpg_claim_19,documerica_0045.jpg,1,1,0,0,1.0,100.0
documerica_0068.jpg_claim_6,documerica_0068.jpg,0,0,0,0,,
documerica_0083.jpg_claim_8,documerica_0083.jpg,0,0,0,0,,
documerica_0015.jpg_claim_10,documerica_0015.jpg,0,0,0,0,,
documerica_0060.jpg_claim_18,documerica_0060.jpg,1,1,0,0,1.0,100.0
documerica_0017.jpg_claim_2,documerica_0017.jpg,3,1,0,2,1.0,100.0
documerica_0095.jpg_claim_1,documerica_0095.jpg,0,0,0,0,,
documerica_0043.jpg_claim_9,documerica_0043.jpg,6,0,0,6,,
documerica_0059.jpg_claim_7,documerica_0059.jpg,1,0,0,1,,
documerica_0067.jpg_claim_3,documerica_0067.jpg,3,0,0,3,,
documerica_0096.jpg_claim_17,documerica_0096.jpg,0,0,0,0,,
documerica_0019.jpg_claim_15,documerica_0019.jpg,0,0,0,0,,
documerica_0065.jpg_claim_2,documerica_0065.jpg,1,0,0,1,,
documerica_0066.jpg_claim_11,documerica_0066.jpg,2,0,0,2,,
documerica_0032.jpg_claim_3,documerica_0032.jpg,2,1,0,1,1.0,100.0
documerica_0065.jpg_claim_6,documerica_0065.jpg,0,0,0,0,,
documerica_0039.jpg_claim_1,documerica_0039.jpg,14,1,3,10,0.25,25.0
documerica_0044.jpg_claim_14,documerica_0044.jpg,2,1,0,1,1.0,100.0
documerica_0075.jpg_claim_9,documerica_0075.jpg,1,0,0,1,,
documerica_0017.jpg_claim_0,documerica_0017.jpg,13,8,2,3,0.8,80.0
documerica_0044.jpg_claim_20,documerica_0044.jpg,1,0,0,1,,
documerica_0014.jpg_claim_4,documerica_0014.jpg,1,1,0,0,1.0,100.0
documerica_0010.jpg_claim_18,documerica_0010.jpg,3,0,0,3,,
documerica_0079.jpg_claim_23,documerica_0079.jpg,1,0,0,1,,
documerica_0049.jpg_claim_12,documerica_0049.jpg,1,0,0,1,,
documerica_0024.jpg_claim_19,documerica_0024.jpg,7,1,1,5,0.5,50.0
documerica_0041.jpg_claim_14,documerica_0041.jpg,0,0,0,0,,
documerica_0054.jpg_claim_9,documerica_0054.jpg,6,2,0,4,1.0,100.0
documerica_0032.jpg_claim_7,documerica_0032.jpg,8,5,1,2,0.8333333333333334,83.33333333333334
documerica_0007.jpg_claim_11,documerica_0007.jpg,4,2,0,2,1.0,100.0
documerica_0075.jpg_claim_14,documerica_0075.jpg,3,1,0,2,1.0,100.0
documerica_0063.jpg_claim_13,documerica_0063.jpg,0,0,0,0,,
documerica_0072.jpg_claim_17,documerica_0072.jpg,4,0,1,3,0.0,0.0
documerica_0010.jpg_claim_15,documerica_0010.jpg,3,2,0,1,1.0,100.0
documerica_0095.jpg_claim_19,documerica_0095.jpg,4,0,0,4,,
documerica_0093.jpg_claim_10,documerica_0093.jpg,5,2,0,3,1.0,100.0
documerica_0078.jpg_claim_14,documerica_0078.jpg,0,0,0,0,,
documerica_0057.jpg_claim_17,documerica_0057.jpg,1,0,0,1,,
documerica_0011.jpg_claim_11,documerica_0011.jpg,4,0,0,4,,
documerica_0056.jpg_claim_8,documerica_0056.jpg,5,0,0,5,,
documerica_0042.jpg_claim_1,documerica_0042.jpg,6,4,0,2,1.0,100.0
documerica_0077.jpg_claim_22,documerica_0077.jpg,3,1,0,2,1.0,100.0
documerica_0081.jpg_claim_16,documerica_0081.jpg,4,0,0,4,,
documerica_0067.jpg_claim_0,documerica_0067.jpg,10,2,1,7,0.6666666666666666,66.66666666666666
documerica_0018.jpg_claim_8,documerica_0018.jpg,3,2,0,1,1.0,100.0
documerica_0048.jpg_claim_0,documerica_0048.jpg,16,7,1,8,0.875,87.5
documerica_0095.jpg_claim_10,documerica_0095.jpg,0,0,0,0,,
documerica_0057.jpg_claim_4,documerica_0057.jpg,4,2,2,0,0.5,50.0
documerica_0025.jpg_claim_15,documerica_0025.jpg,5,1,0,4,1.0,100.0
documerica_0075.jpg_claim_0,documerica_0075.jpg,19,6,0,13,1.0,100.0
documerica_0034.jpg_claim_17,documerica_0034.jpg,1,0,0,1,,
documerica_0053.jpg_claim_19,documerica_0053.jpg,0,0,0,0,,
documerica_0058.jpg_claim_8,documerica_0058.jpg,6,4,0,2,1.0,100.0
documerica_0048.jpg_claim_11,documerica_0048.jpg,2,0,0,2,,
documerica_0067.jpg_claim_16,documerica_0067.jpg,2,1,0,1,1.0,100.0
documerica_0070.jpg_claim_14,documerica_0070.jpg,0,0,0,0,,
documerica_0066.jpg_claim_9,documerica_0066.jpg,6,0,1,5,0.0,0.0
documerica_0066.jpg_claim_10,documerica_0066.jpg,6,2,0,4,1.0,100.0
documerica_0010.jpg_claim_6,documerica_0010.jpg,8,2,0,6,1.0,100.0
